澳門名稱,台彩名稱
沙士菲,薩斯菲爾德
利華古遜,勒沃庫森
博洛尼亞,波隆那
皇家蘇斯達,皇家社會
新特蘭,桑德蘭
錫周三,雪菲爾德星期三
李斯特城,萊斯特城
阿克倫,阿克隆陶里亞蒂
維拉利爾,比亞雷亞爾
馬德里體育會,馬德里競技
克魯塞羅,高士路
加拉塔沙雷,加拉塔薩雷
年青人,伯爾尼年輕人
白禮頓,布萊頓
阿仙奴,兵工廠
利物浦,利物浦
曼城,曼城
阿士東維拉,阿斯頓維拉
賓福特,布倫特福德
曼聯,曼聯
紐卡素,紐卡索聯
般尼茅夫,伯恩茅斯
李斯特城,萊切斯特城
諾定咸森林,諾丁漢森林
熱刺,托特納姆熱刺
水晶宮,水晶宮
韋斯咸,西漢姆聯
富咸,富勒姆
修咸頓,南安普敦
車路士,切爾西
葉士域治,伊普斯維奇
狼隊,狼隊
愛華頓,艾佛頓
般尼,班來
新特蘭,桑德蘭
屈福特,沃特福德
布力般流浪,布萊克本流浪者
西布朗,西布朗維奇
布里斯托城,布里斯托城
史雲斯,斯旺西
牛津聯,牛津聯
錫周三,謝菲爾德星期三
高雲地利,科芬特里城
米杜士堡,米德斯堡
打比郡,德比郡
史篤城,斯托克城
錫菲聯,謝菲爾德聯
樸茨茅夫,里茲聯
列斯聯,樸次茅斯
侯城,赫爾城
昆士柏流浪,女皇公園巡遊者
諾域治,諾里奇
盧頓,盧頓
普利茅夫,普利茅斯
米禾爾,米爾沃
普雷斯頓,普雷斯頓
卡迪夫城,卡地夫城
町田澤維亞,町田澤維亞
廣島三箭,廣島三箭
鹿島鹿角,鹿島鹿角
大阪飛腳,大阪飛腳
神戶勝利船,神戶勝利船
橫濱水手,橫濱水手
大阪櫻花,大阪櫻花
FC東京,FC東京
福岡黃蜂,福岡黃蜂
浦和紅鑽,浦和紅鑽
新潟天鵝,新潟天鵝
東京綠茵,東京綠茵
川崎前鋒,川崎前鋒
名古屋八鯨,名古屋鯨魚
柏雷素爾,柏雷素爾
京都不死鳥,京都不死鳥
湘南比馬,湘南比馬
磐田山葉,磐田山葉
鳥棲砂岩,鳥栖砂岩
北海道札幌岡薩多,北海道札幌岡薩多
千葉市原,千葉市原
富明尼斯,弗魯米內斯
甘美奧,格雷米奧
聖羅倫素,聖羅倫佐
明尼路,米內羅競技
強者,強者
彭拿路,佩納羅爾競技
彭美拉斯,帕梅拉斯
保地花高,博塔弗戈
高路高路,科洛科洛
青年體育會,青年體育會
蒙特維多國民隊,烏拉圭國民
聖保羅,聖保羅SP
法林明高,佛朗明哥
玻利瓦爾,博利瓦
巴塞隆拿,巴塞隆納
切爾達,塞爾塔維戈
華歷簡奴,巴列卡諾
華拉度列,巴亞多利德
馬德里體育會,馬德里競技
西維爾,塞維亞
維拉利爾,比亞雷亞爾
拉斯彭馬斯,拉斯帕爾瑪斯
畢爾包,畢爾包
皇家馬德里,皇家馬德里
貝迪斯,皇家貝提斯
馬略卡,馬約卡
奧沙辛拿,奧薩蘇納
雷加利斯,萊加內斯
傑羅納,赫羅納
加泰,赫塔菲
皇家蘇斯達,皇家社會
華倫西亞,瓦倫西亞
艾拉維斯,阿拉維斯
愛斯賓奴,皇家西班牙人
費倫天拿,佛倫提那
巴拉干天奴,RB布拉甘蒂諾
法林明高,佛朗明哥
卡達斯,卡爾達斯
查古里斯,科爾多瓦美洲獅
天安市,天安城
科木,科莫
祖雲達斯,尤文圖斯
貝爾格拉諾,貝格拉諾
甘拿斯亞,吉姆納西亞
學生隊,拉普拉塔學生
小保加,博卡青年
艾法特,阿爾法特
吉達艾阿里,阿爾阿赫利吉達
伊蒂法克,阿爾伊蒂法克
艾奧赫多,阿爾奧赫杜德
拖連奴,杜里諾
阿特蘭大,亞特蘭大
威尼斯,威尼斯
堤華納,蒂華納
萊昂,萊昂
RB萊比錫,RB萊比錫
拉素,拉齊歐
古亞巴,庫亞巴
基斯奧馬,克里西烏馬
洛杉磯FC,洛杉磯
侯斯頓戴拿模,休士頓發電機
阿美利加會,墨西哥美洲
甘拿斯亞,吉姆納西亞
小阿根廷人,阿根廷青年人
葛度爾古斯,戈多伊克魯斯
中央科爾多瓦,科爾多瓦中央
伊巴,艾伊巴
利雲特,萊萬特
艾爾切,埃爾切
科爾多瓦,哥多華
青年隊,青年人體育會
費路爾,費羅爾競賽
卡塔爾,卡達
阿聯酋,阿拉伯聯合大公國
克羅地亞,克羅埃西亞
意大利,義大利
塞浦路斯,賽普勒斯
恩波里,恩波利
FC辛辛那提,辛辛那提
FC橫濱,橫濱FC
熱拿亞,熱那亞
肯薩斯體育會,堪薩斯城體育
穆罕默丹SC,伊斯蘭教徒
艾薩德,阿爾薩德
艾阿恩,阿爾艾因
PSV燕豪芬,PSV恩荷芬
莫亨巴根SG,莫哈巴甘
拉夫辛庫洛布,拉夫尚
